joint_name,PC_1_scale_x,PC_1_scale_y,PC_1_scale_z,PC_1_translation_x,PC_1_translation_y,PC_1_translation_z,PC_2_scale_x,PC_2_scale_y,PC_2_scale_z,PC_2_translation_x,PC_2_translation_y,PC_2_translation_z,PC_3_scale_x,PC_3_scale_y,PC_3_scale_z,PC_3_translation_x,PC_3_translation_y,PC_3_translation_z,PC_4_scale_x,PC_4_scale_y,PC_4_scale_z,PC_4_translation_x,PC_4_translation_y,PC_4_translation_z,PC_5_scale_x,PC_5_scale_y,PC_5_scale_z,PC_5_translation_x,PC_5_translation_y,PC_5_translation_z,PC_6_scale_x,PC_6_scale_y,PC_6_scale_z,PC_6_translation_x,PC_6_translation_y,PC_6_translation_z,PC_7_scale_x,PC_7_scale_y,PC_7_scale_z,PC_7_translation_x,PC_7_translation_y,PC_7_translation_z,PC_8_scale_x,PC_8_scale_y,PC_8_scale_z,PC_8_translation_x,PC_8_translation_y,PC_8_translation_z,PC_9_scale_x,PC_9_scale_y,PC_9_scale_z,PC_9_translation_x,PC_9_translation_y,PC_9_translation_z,PC_10_scale_x,PC_10_scale_y,PC_10_scale_z,PC_10_translation_x,PC_10_translation_y,PC_10_translation_z,PC_11_scale_x,PC_11_scale_y,PC_11_scale_z,PC_11_translation_x,PC_11_translation_y,PC_11_translation_z,PC_12_scale_x,PC_12_scale_y,PC_12_scale_z,PC_12_translation_x,PC_12_translation_y,PC_12_translation_z,PC_13_scale_x,PC_13_scale_y,PC_13_scale_z,PC_13_translation_x,PC_13_translation_y,PC_13_translation_z
b_t,1.9446300569825326e-08,8.167028830996514e-09,7.715881622516463e-08,-0.007417766377329826,-0.00020390366262290627,-0.002173465443775058,1.1000603983291057e-08,6.072683245150756e-09,3.289641625769946e-08,0.002057064790278673,-0.0006149268010631204,-0.0017959334654733539,4.987034429859705e-08,2.081337591164356e-08,3.9262992856947676e-08,0.008869512006640434,-0.00022723358415532857,0.004142457619309425,8.540176565929869e-09,3.453384778140389e-08,2.438250135128328e-08,-0.00028042568010278046,-0.0006763777346350253,0.0025772692169994116,1.922577474999798e-08,-3.641550350153011e-08,9.46782350297326e-08,-0.001913541811518371,0.0003249947912991047,-0.007657702546566725,1.780697189701641e-08,3.90543455353054e-08,6.57097132261697e-08,0.001788764027878642,-0.00047760328743606806,-0.0032741886097937822,2.2951830658257677e-08,1.9538740403390875e-08,-1.6908495936718282e-08,0.004824080970138311,-0.0018046315526589751,0.0004163178673479706,-5.091893484632237e-08,3.705544315835141e-08,-1.642172797744479e-08,-0.004317202605307102,-0.0007832511910237372,0.008413402363657951,-1.5403305297922998e-08,-2.0192987282285912e-09,9.039819559575335e-08,-0.004076285753399134,0.0001928269921336323,-0.0003584595979191363,5.778885636686937e-08,4.183242197086656e-08,1.3748529426038658e-08,-0.005197889171540737,-0.0010348157957196236,-0.001899075461551547,-1.933326565506377e-08,2.7656975376544324e-08,6.395451634944038e-08,-0.006306265946477652,-0.001217049895785749,-0.0008503305143676698,-2.635330709210848e-08,1.556428514959407e-07,7.299838955532323e-08,0.014590514823794365,-0.00047255551908165216,-0.001656911219470203,1.2849008967918962e-08,4.0611485729868946e-08,-1.034129724075683e-07,0.004488445818424225,-0.0014521789271384478,-0.00562011543661356
b_a_1,-0.041635096073150635,-0.04163507744669914,-0.04163506627082825,0.013658572919666767,-2.042063897533808e-05,-0.0036046269815415144,-0.1579880714416504,-0.1579880267381668,-0.1579880714416504,-0.006238720379769802,-5.271278496365994e-05,0.004901660140603781,-0.18613547086715698,-0.1861354112625122,-0.18613530695438385,-0.015122772194445133,0.00033481669379398227,-0.00419881334528327,-0.051915425807237625,-0.05191534012556076,-0.05191531032323837,-0.005555914714932442,0.0002895102370530367,-0.0037077474407851696,-0.05493001267313957,-0.05492996796965599,-0.05492997169494629,0.0015048454515635967,-0.0002431488101137802,0.0022578914649784565,0.057935167104005814,0.057935118675231934,0.05793517082929611,-0.003186871064826846,3.947900768253021e-05,-0.002086884807795286,0.31904786825180054,0.3190477192401886,0.319047749042511,0.007706536911427975,-0.0002316657773917541,-0.0009988771053031087,-0.07414450496435165,-0.07414445281028748,-0.0741443932056427,-0.006949149072170258,-0.0005663890624418855,0.011935077607631683,0.051105622202157974,0.05110550671815872,0.05110553652048111,0.01318652369081974,0.0002823914401233196,0.00303480913862586,0.11148712784051895,0.11148711293935776,0.11148712784051895,-0.014967042952775955,0.0008814021712169051,0.004546912387013435,-0.012578650377690792,-0.012578616850078106,-0.012578766793012619,-0.0063535249792039394,0.00018217375327367336,0.003178907325491309,0.2551557421684265,0.25515568256378174,0.25515565276145935,-0.001734068850055337,-0.0017154585802927613,-0.018786026164889336,0.0188444871455431,0.018844405189156532,0.01884441450238228,-0.0008141084690578282,-0.0016913511790335178,0.008714999072253704
b_a_2,0.40407130122184753,0.4040714502334595,0.4040714502334595,3.0952186591548525e-08,2.8446649480429187e-09,-5.503475364321275e-08,0.31123852729797363,0.3112386465072632,0.31123873591423035,2.9655357280944372e-08,-2.3276891525370047e-08,1.520829151502312e-08,0.15204733610153198,0.15204738080501556,0.15204742550849915,4.2829690016787936e-08,-7.331200646554237e-10,-1.2048003483755565e-08,-0.10698818415403366,-0.10698820650577545,-0.10698821395635605,-1.2947125149764815e-08,3.869594777938801e-08,-9.359555264154551e-08,-0.07474831491708755,-0.07474839687347412,-0.0747484341263771,8.34170066355e-10,1.2070370480898873e-08,2.0039118808767853e-08,0.04477772116661072,0.044777762144804,0.044777777045965195,1.3185820435523965e-08,-2.8376874183777545e-08,2.7974811800390853e-08,0.09266240894794464,0.09266258776187897,0.09266260266304016,8.31713975468773e-10,8.957353081484598e-09,-2.761555073504951e-08,-0.03752383217215538,-0.03752374276518822,-0.03752375394105911,-8.114242611156897e-09,-1.5358850191660167e-08,-1.019044582051265e-08,0.025637075304985046,0.025637127459049225,0.025637121871113777,2.5958120097868687e-09,1.4892820310308252e-09,-1.1277227152106661e-08,0.00041158677777275443,0.00041171401971951127,0.0004117988864891231,-2.0561785163408786e-08,-5.087741428155823e-08,-3.0211904089583186e-08,-0.029758436605334282,-0.029758507385849953,-0.029758518561720848,-7.062643803124047e-09,-3.0770696213267e-08,3.7699418697911824e-08,0.08339075744152069,0.08339092135429382,0.08339109271764755,-1.6290675475261196e-08,3.30064975351263e-09,-2.6429463062527248e-08,0.031032247468829155,0.031032273545861244,0.031032273545861244,4.093905303648171e-08,3.4707614560147704e-08,-5.0486676173022715e-08
b_a_3,-0.00717211002483964,-0.007172117941081524,-0.007172110956162214,3.450918839575934e-08,2.655752950886381e-08,1.3631628270616147e-08,0.005985284689813852,0.005985295865684748,0.005985280033200979,2.7269063451740294e-08,6.2106946252526996e-09,2.380243335764476e-09,-0.01351610291749239,-0.013516096398234367,-0.013516107574105263,1.4942951764851387e-08,-9.070681983303075e-10,-9.206559958840899e-09,0.011741716414690018,0.011741682887077332,0.0117416987195611,8.440117049701712e-09,5.9576034772135245e-08,6.914224193188545e-10,0.10221204906702042,0.10221197456121445,0.10221202671527863,3.6962395366657574e-09,4.170290779370589e-08,-2.8746546476554613e-08,-0.0179457888007164,-0.017945844680070877,-0.017945801839232445,-3.852006358329163e-08,-2.171019142238606e-09,1.0908874692461268e-08,-0.24111898243427277,-0.24111896753311157,-0.24111898243427277,-6.533128260599597e-09,6.21172979720086e-09,4.705808187566163e-09,0.2500797212123871,0.2500796914100647,0.2500797212123871,4.066730241447658e-08,2.1364570557125262e-08,-1.057874055021557e-08,0.04826783388853073,0.04826781153678894,0.04826785996556282,-2.208756066934825e-09,4.2740278871633564e-08,-1.2636163226886765e-08,-0.0634746253490448,-0.06347472220659256,-0.06347468495368958,3.308820595293582e-08,-4.0325673467123124e-08,3.21632427358054e-08,-0.1599474996328354,-0.15994742512702942,-0.15994733572006226,1.9837612441619967e-08,5.45824683229057e-08,3.7455482271298024e-08,0.05946735665202141,0.0594673678278923,0.05946735292673111,6.233394600485553e-08,-6.204287217315141e-08,6.2699845315705716e-09,-0.09718038886785507,-0.09718038141727448,-0.09718037396669388,2.5015374660597445e-08,-3.479988563981351e-08,7.204631113921778e-09
b_a_4,-0.025154998525977135,-0.025155004113912582,-0.025154979899525642,-6.407163244404046e-09,1.21136531916477e-08,1.6976285266423474e-08,0.02773297391831875,0.0277329683303833,0.027733009308576584,-1.7163857002344685e-09,-5.455724760849989e-10,9.462885586231096e-09,-0.034535303711891174,-0.03453529626131058,-0.03453528881072998,-1.4756905919455221e-08,-1.4641208245791404e-09,1.2723663234126548e-09,-0.010794916190207005,-0.01079491339623928,-0.010794912464916706,9.96665239227923e-09,1.7188080292385166e-08,4.027355515745512e-08,0.02637876197695732,0.026378769427537918,0.026378730311989784,-1.051787812400562e-08,1.0069023836933866e-08,4.0680678381477264e-08,0.02336576208472252,0.023365776985883713,0.02336573787033558,1.6164719340849842e-08,2.410859067936144e-08,5.210177533854221e-08,-0.00985392089933157,-0.009853904135525227,-0.009853960946202278,-1.0343637946164108e-08,-5.364815258701583e-09,3.41645711721128e-09,-0.010588795877993107,-0.010588769800961018,-0.01058873999863863,2.2098685548144203e-08,2.738423177106597e-08,1.9717452559575577e-08,-0.022244196385145187,-0.02224414423108101,-0.022244198247790337,-2.177896796240475e-08,-1.3973019186153124e-08,4.758254945613771e-08,0.034680984914302826,0.03468097001314163,0.03468099981546402,2.1030466257343505e-08,6.884315695288024e-08,2.7934699886600356e-08,-0.08954476565122604,-0.08954475820064545,-0.08954478055238724,9.078616081126256e-09,1.871369170736159e-10,4.14743368537529e-08,-0.007021161261945963,-0.007021177094429731,-0.0070210834965109825,1.3182292590840916e-08,-2.243983665550786e-09,2.60706300991842e-08,-0.01977579854428768,-0.01977582648396492,-0.019775766879320145,3.6263938518743544e-09,1.1608020968056909e-11,-3.1077562745451814e-09
b_a_5,-0.10760979354381561,-0.107609823346138,-0.1076098158955574,-3.809319248926357e-10,-2.043160529652255e-09,-7.073811536528751e-10,0.01385196577757597,0.013851937837898731,0.013851957395672798,2.7699793569979647e-09,2.3429143070075042e-09,2.487816175289481e-09,0.1975974589586258,0.19759735465049744,0.19759736955165863,1.9279764451596293e-09,5.535642499943094e-10,-1.43679890207693e-09,0.07231079041957855,0.07231084257364273,0.07231082022190094,2.229461726344084e-09,-1.6543212355557557e-09,2.5645232604176726e-09,-0.08111346513032913,-0.08111339807510376,-0.08111343532800674,1.1901358787369531e-09,6.998287727100205e-09,-2.1169488384487067e-09,-0.04070767015218735,-0.04070768877863884,-0.04070768877863884,-8.347622149074141e-09,-7.242516364414087e-09,-5.453940410404812e-09,-0.029698550701141357,-0.02969859354197979,-0.02969856932759285,-6.232839133701873e-09,-6.888532411153392e-09,2.5570481287928715e-09,-0.09710242599248886,-0.09710244834423065,-0.09710244834423065,1.1961953205741338e-08,-2.0911554710068003e-09,1.1449292625087537e-09,-0.03971809148788452,-0.03971810266375542,-0.03971808776259422,6.5253540348919614e-09,-4.9861774431558814e-11,1.111847769408314e-08,0.04568176716566086,0.04568180814385414,0.04568175971508026,-5.138032665996661e-09,5.357621901680432e-09,-1.9640706838686128e-08,0.2781355381011963,0.2781355679035187,0.2781355381011963,1.3559639633342613e-08,-1.574867347642339e-08,-1.6439309913351963e-09,0.01481119729578495,0.014811172150075436,0.014811203815042973,1.575353891780651e-08,1.5709279210796012e-08,3.666794645695859e-09,0.10466369986534119,0.10466371476650238,0.10466373711824417,8.880448376658023e-09,-2.7718629613815438e-09,-1.6034972238898604e-09
l_1_co_r,0.03583936020731926,0.03583936393260956,0.03583936393260956,-0.0019006668590009212,0.0022505728993564844,-0.0006282725953496993,0.014220359735190868,0.014220353215932846,0.01422035787254572,0.00017414047033526003,-6.61727535771206e-05,0.0010078790364786983,-0.1409347802400589,-0.1409347951412201,-0.1409348100423813,0.0032782084308564663,-0.002991004381328821,-0.00042520056013017893,-0.06604234129190445,-0.06604233384132385,-0.06604234874248505,0.0028499674517661333,-3.854546957882121e-05,0.0032047503627836704,-0.0007046219543553889,-0.0007046136888675392,-0.0007046214304864407,0.0002207236539106816,-0.002581148175522685,-0.00706065446138382,0.006202332675457001,0.006202331278473139,0.006202335003763437,-0.001351174316368997,-0.001526174251921475,-0.0063025979325175285,-0.005646146833896637,-0.005646146833896637,-0.005646141711622477,0.003180720144882798,0.0016636699438095093,0.0032060937955975533,0.05944718047976494,0.05944719538092613,0.05944716930389404,-0.0038168001919984818,0.0025475213769823313,0.010926278308033943,-0.01818700321018696,-0.018186992034316063,-0.018186992034316063,0.0011072629131376743,0.0005686809890903533,0.0052719926461577415,-0.06694226711988449,-0.06694220751523972,-0.0669422447681427,-0.0029425006359815598,0.0034341979771852493,0.017975812777876854,0.08544177561998367,0.08544173836708069,0.08544179052114487,0.0017980722477659583,0.00017098026000894606,0.00023644344764761627,-0.05976477265357971,-0.059764765202999115,-0.05976476892828941,0.002126171486452222,-0.0050678253173828125,-0.014455819502472878,0.173197939991951,0.1731979250907898,0.17319795489311218,-0.0038769214879721403,4.983536200597882e-05,-0.0028103196527808905
l_1_tr_r,-0.029816608875989914,-0.029816601425409317,-0.029816603288054466,5.861994223366196e-11,1.161462592769169e-09,-1.806736427134581e-09,0.013980946503579617,0.013980947434902191,0.01398093905299902,1.1967043675453759e-11,-3.241765744732561e-09,5.476961106865019e-09,0.12195862084627151,0.12195860594511032,0.12195859849452972,-1.3574437129904027e-09,4.388441166014445e-09,-4.948668141935286e-09,0.043110478669404984,0.043110478669404984,0.043110474944114685,-1.3383585906190376e-10,-2.7365347765595516e-09,3.0685001206620655e-09,0.04879378527402878,0.04879376292228699,0.04879376292228699,-8.273831064720127e-10,6.110754124932782e-09,-5.520271795234066e-09,-0.026642968878149986,-0.02664296329021454,-0.02664296142756939,1.0851908260889331e-09,-2.3155610762159995e-09,-2.1988877385581418e-09,0.04922499507665634,0.049224987626075745,0.049224987626075745,-1.6306144212663298e-09,-1.382151837425738e-09,-6.929741780403731e-10,-0.019316192716360092,-0.019316185265779495,-0.019316179677844048,-1.625067858057605e-09,-4.8883554981671296e-09,5.854580376052354e-09,-0.04902339354157448,-0.049023400992155075,-0.049023400992155075,-1.5408886389067789e-09,-4.658578522942491e-10,4.421580879210296e-09,0.18941175937652588,0.18941178917884827,0.18941180408000946,4.08685218999949e-09,-4.374785256278102e-10,-3.364266865091281e-09,-0.09489943087100983,-0.09489942342042923,-0.09489943832159042,7.387071510045473e-10,-3.64970165200873e-09,7.558686121456049e-09,-0.037078093737363815,-0.03707810491323471,-0.03707811236381531,-6.51186049527297e-10,3.892707045594079e-09,1.0682972728659479e-08,-0.08619850873947144,-0.08619851619005203,-0.08619850873947144,2.534830345624073e-09,1.8644712440618605e-09,-3.084261734898064e-09
l_1_fe_r,0.017388183623552322,0.01738818734884262,0.01738818548619747,4.2291450896847493e-10,-2.2773537222686713e-10,2.723128111892237e-10,0.024723833426833153,0.024723831564188004,0.024723835289478302,-4.976754008900741e-10,1.6846132128156555e-11,-3.5215488858320043e-10,-0.05051879212260246,-0.050518784672021866,-0.05051879957318306,-1.5829665356292821e-10,1.037541386139651e-09,6.207810654412782e-11,0.07878951728343964,0.07878950983285904,0.07878950983285904,-1.961354550994443e-10,8.189827704896402e-10,3.8830041959592165e-10,0.07769333571195602,0.07769335061311722,0.07769335806369781,-2.939636589704975e-10,8.633396081370037e-11,-1.1907185237802764e-09,0.06709728389978409,0.06709727644920349,0.06709729135036469,3.7262637420099054e-10,-2.5607060916144064e-09,5.716502826658143e-10,0.04670631140470505,0.046706296503543854,0.04670630767941475,-1.1729586191222552e-09,1.1271445998772833e-09,8.614729068989746e-11,-0.004871758166700602,-0.004871753975749016,-0.004871759098023176,5.611535680571933e-10,-2.669548138101163e-09,4.5131878789739233e-10,0.07884906232357025,0.07884904742240906,0.07884904742240906,-2.037423341150202e-09,4.946513865178304e-09,-8.326274114622834e-10,-0.03719060495495796,-0.037190597504377365,-0.03719060495495796,3.2710358865983835e-09,-8.301283216383126e-09,-2.963817524737067e-10,0.008149443194270134,0.008149441331624985,0.008149444125592709,9.324411243127884e-10,-6.512236860878318e-10,3.522183433801729e-09,0.07151071727275848,0.07151071727275848,0.07151073962450027,-1.141257421899411e-09,4.319532787011582e-10,-3.945298254759422e-11,-0.03513336181640625,-0.03513336181640625,-0.03513336181640625,-1.809665417518147e-09,4.1109798898375516e-10,1.7375438865485648e-09
l_1_ti_r,-0.02621961012482643,-0.02621961012482643,-0.02621961571276188,1.6919901590917164e-10,-2.1655605086934315e-10,1.160563797841796e-10,-0.0008877528598532081,-0.0008877533837221563,-0.000887751579284668,-6.432865906624841e-10,7.137048174676863e-10,-3.4038985519124765e-10,0.021782398223876953,0.02178240194916725,0.02178240194916725,2.610241189859863e-10,-1.301572072343049e-09,5.140819991922285e-10,0.0006562065100297332,0.0006562058697454631,0.0006562068010680377,-2.678379462661695e-10,4.322456281791176e-10,-8.269784856906881e-11,0.02787727117538452,0.02787727117538452,0.02787727676331997,2.873024596006246e-10,-9.036147385899085e-10,4.420207255773079e-11,0.0051849219016730785,0.005184919107705355,0.005184920970350504,5.2696593616508025e-11,1.7591776924064106e-09,-9.301847486709036e-11,-0.010723622515797615,-0.010723620653152466,-0.01072362344712019,9.60706958430535e-10,4.535950781647813e-10,-7.527475309743181e-10,-0.11618654429912567,-0.11618653684854507,-0.11618652194738388,-7.323674999781815e-10,2.0052584037699717e-09,1.199107590998949e-09,-0.04707283154129982,-0.04707283154129982,-0.04707283526659012,8.115946248388184e-10,-1.226652446284504e-09,1.474224964326254e-09,-0.087159164249897,-0.0871591717004776,-0.0871591717004776,-5.009598291749739e-10,3.498669354229378e-09,-9.607054041183005e-10,0.11417840421199799,0.11417841166257858,0.11417840421199799,-3.1540281497655087e-10,2.0476079165554495e-10,-7.996672074517264e-11,-0.021693535149097443,-0.02169353887438774,-0.021693548187613487,-2.185396724696531e-10,-2.270877264010096e-09,3.1545914769282035e-09,-0.03091364912688732,-0.03091365285217762,-0.03091365657746792,8.084261593488407e-10,1.538183053151343e-10,7.095282139601977e-10
